Bob Dylan,Versions,File Type,
Drive - C,,,
,,,
,,,
[1962],,,
"7-2-1962 / Montreal, Canada / Finjin Club",SBD,FLAC,
,,,
[1963],,,
10-26-1963 / Bob Dylan - Live at Carnegie Hall In Concert (Unreleased CBS Album),,FLAC,
,,,
[1965],,,
"5-7-1965 / Manchester, England / Free Trade Hall *Now Ain't the Time for Your Tears",SBD,FLAC,
"6-1-1965 / London, UK / BBC Studios",Broadcast,FLAC,
"9-3-1965 / Los Angeles, CA / Hollywood Bowl",SBD,FLAC,
"10-30-1965 / Hartford, CT / Bushnell Memorial Hall",AUD,FLAC,
,,,
[1966],,,
"4-13-1966 / Sydney, Australia / Sydney Australia *Genuine Live 1966",SBD,FLAC,
"5-26-1966 / London, UK / Royal Albert Hall",SBD,FLAC,
,,,
[1969],,,
2-17.18-1969 / Nashville Sessions (With Johnny Cash),SBD,FLAC,
8-31-1969 / Isle of Wight *Mighty Mockingbird,,FLAC,
,,,
[1970],,,
5-XX-1970 / *Almost Went To See Elvis ,SBD,FLAC,
"5-1-1970 / Nashville, TN / Columbia Studios (NASH 105)",Silver CD,FLAC,
,,,
[1974],,,
"1-4-1974 / Chicago, IL / Chicago Stadium",AUD,FLAC,
"1-6-1974 / Philadelphia, PA / The Spectrum",AUD,FLAC,
"1-7-1974 / Philadelphia, PA / The Spectrum",AUD,FLAC,
"1-9-1974 / Toronto, Ontario / Maple Leaf Gardens",AUD,FLAC,
"1-14-1974 / Boston, MA / Boston Gardens",SBD,FLAC,
,,,
[1975],,,
"11-21-1975 / Boston, MA / Boston Music Hall (Late show)",SBD,FLAC,
,,,
[1976],,,
"5-11-1976 / San Antonio, TX / Municipal Auditorium (inc) (dolphinsmile)",SBD,FLAC,
"5-16-1976 / Fort Worth, TX / TCCC *Hold the Fort",SBD,FLAC,
,,,
[1978],,,
"11-10-1978 / Seattle, WA / University of WA *Live at the Pitstop 78 ",Silver CD,FLAC,
,,,
[1980],,,
"11-15-1980 / San Francisco, CA / Les Kokay (LB-7445)",AUD,FLAC,
,,,
[1986],,,
"2-24/25-1986 / Sydney, Australia  *Precious Memoris (with Tom Petty and the Heartbreakers)",Vinyl,FLAC,
"7-16-1986 / New York, NY / Madison Square Garden (with Tom Petty)",AUD,FLAC,
,,,
[1989],,,
"7-5-1989 / Rochester Hills, MI / Howard C. Baldwin Memorial Pavilion (dolphinsmile)",AUD,FLAC,
,,,
[1993],,,
"9-2-1993 / Toronto, Ontario / Canadien National Exhibition Grandstand",AUD,FLAC 24,
"10-3-1993 / San Diego, CA / Sports Arena",AUD,FLAC,
,,,
[1994],,,
"8-14-1994 / Saugerties, NY / Woodstock 94 (JTT)",Silver CD,FLAC,
,,,
[1995],,,
"3-14-1995 / Fuerth, Germany / Stadthalle",AUD,FLAC,
,,,
[2019],,,
"10-14-2019 / Palo Alto, CA / Stanford University - Frost Amphitheatre (hurricane)",AUD,FLAC,
,,,
[MISC],,,
1961-1965 Bob Dylan - Solid Road,SBD,FLAC,
1974 Soundboard Collection (10 CD) Limited Edition 352/500,SBD,FLAC,Limited Edition 352/500
XX-XX-1974 - Build A Ladder To The Stars (Pink Panther Records),,FLAC,
XX-XX-1978 - World Tour Anthology (LB-01755) ,,SHN,
XX-XX-1987 / Real Cuts at Last,Vinyl,FLAC,
Abandonded Desire (2CD),,FLAC,
Blood on the Tapes,,FLAC,
Bob Dylan & the Band - Basement Tapes (Acetate),,FLAC,
Bob Dylan - 1965 - Long Distance Operator,,FLAC,
Bob Dylan - First Gaslight Tape {remaster},,FLAC,
Bob Dylan - The Minnesota Tapes 1961 (Minneapolis Recordings),,FLAC,
Bob Dylan - Renaldo and Clara Soundtrack (soniclovenoize),,FLAC,
Dimestore Medicine (WC65),,FLAC,
Eat the Document (1966) - Documentary,,DVD,
Isle of Wight (1969),,DVD,
The Witmark Years (Capricorn 2021-22),,FLAC,
What Are You Trying To Say - Performing Artist Series - Vol. 6 (2 shows from 1965),SBD,FLAC,
Bob Dylan - 1963-65 - The Ultimate Emmett Grogan Acetates (DIYE 65-66),,FLAC,
Bob Dylan - Blonde On Blonde (Original Stereo Mixes),SBD,FLAC,
Bob Dylan - Highway 61 Demo Outtakes,,FLAC,
Bob Dylan & Traveling Wilburys - The Secret Tapes of Lucky Boo,Silver CD,FLAC,
Bob Dylan - The Ghost of Woody Guthrie (1961),,FLAC,
Bob Dylan - New York Sessions (1974),SBD,FLAC,
Bob Dylan and Mark Knopfler - The Jokermen (Scorpio-UK79),Silver CD,FLAC,
